unique_id,ds,LGBMRegressor,LGBMRegressor-lo-90,LGBMRegressor-lo-80,LGBMRegressor-hi-80,LGBMRegressor-hi-90,LGBMRegressor/BottomUp,LGBMRegressor/BottomUp-lo-90,LGBMRegressor/BottomUp-lo-80,LGBMRegressor/BottomUp-hi-80,LGBMRegressor/BottomUp-hi-90,LGBMRegressor/MinTrace_method-mint_shrink,LGBMRegressor/MinTrace_method-mint_shrink-lo-90,LGBMRegressor/MinTrace_method-mint_shrink-lo-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-90,LGBMRegressor/MinTrace_method-ols,LGBMRegressor/MinTrace_method-ols-lo-90,LGBMRegressor/MinTrace_method-ols-lo-80,LGBMRegressor/MinTrace_method-ols-hi-80,LGBMRegressor/MinTrace_method-ols-hi-90
total,2025-05-25 01:00:00,9.840290807026724,0.0,0.0,54.10611137649942,55.4149975087237,13.07761515426509,0.0,0.0,47.187335545179884,66.6417054019178,8.167628654292516,0.0,0.0,42.27734904520731,61.731718901945236,9.81587212676403,0.0,0.0,43.92559251767883,63.37996237441674
total,2025-05-25 02:00:00,4.52980022476388,0.0,0.0,17.632621789208592,20.259524522376715,9.918014593184127,0.0,0.0,24.157439248835242,26.590481619461993,2.350730118526899,0.0,0.0,16.590154774178018,19.02319714480476,4.9020914544936645,0.0,0.0,19.14151611014478,21.574558480771525
total,2025-05-25 03:00:00,3.339781705907123,0.0,0.0,8.644798662898108,9.626882195246043,8.35237545447708,0.0,2.084048612116128,14.497690699349803,16.280271269807148,1.2264094609697835,0.0,0.0,7.371724705842507,9.154305276299851,3.6439942009942228,0.0,0.0,9.789309445866948,11.571890016324291
total,2025-05-25 04:00:00,11.871717290491931,8.650307040187641,8.901231373436875,14.842203207546987,15.093127540796221,14.347876144029634,12.109448184068878,12.676361970175014,15.818748929295953,16.419059939520817,11.035852588761015,8.79742462880026,9.364338414906396,12.506725374027333,13.1070363842522,11.92496871278366,9.686540752822902,10.25345453892904,13.395841498049974,13.996152508274843
total,2025-05-25 05:00:00,8.23766251946628,1.314918166608078,1.7272316136518855,14.748093425280675,15.160406872324483,11.604521133731211,7.607494313332524,8.498150442279929,14.583765205768138,15.022632808801132,6.5133304276083095,2.5163036072096228,3.406959736157028,9.492574499645237,9.931442102678231,8.39328238208672,4.39625556168803,5.286911690635437,11.372526454123642,11.811394057156638
total,2025-05-25 06:00:00,4.394388021829871,0.0,0.0,10.57285461595919,11.937532448794782,9.585902460656243,0.8774270225293469,3.191923944484524,16.397831257926267,17.593385860539755,2.3075814025022976,0.0,0.0,9.119510199772321,10.315064802385809,4.715504935565305,0.0,0.0,11.52743373283533,12.722988335448822
total,2025-05-25 07:00:00,9.544058198998387,0.0,0.0,21.033953882873732,21.27269112384548,14.136982851532595,8.695013483977105,9.627722857813469,19.09509009325169,20.615449894176653,7.128819312014784,1.6868499444592944,2.619559318295659,12.086926553733884,13.607286354658841,9.411739752857208,3.9697703853017168,4.902479759138082,14.369846994576308,15.890206795501262
total,2025-05-25 08:00:00,51.971567176035926,11.976229201753487,22.179433406871247,81.76370094520061,91.96690515031837,48.57685780843833,15.528715988635389,22.778842153920994,70.78629555102388,76.02753749530687,53.13846020016989,20.09031838036694,27.34044454565255,75.34789794275542,80.58913988703843,51.48546638031352,18.43732456051057,25.687450725796186,73.69490412289906,78.93614606718205
total,2025-05-25 09:00:00,121.15841180745326,47.43940543670671,69.80776278478257,172.50906083012396,194.87741817819983,85.16295398016759,19.66046303636807,33.47709845761764,136.37221102625182,142.31949787397684,129.92947836911466,64.42698742531512,78.24362284656469,181.13873541519885,187.08602226292388,114.67931245347053,49.176821509671036,62.993456930920594,165.88856949955476,171.8358563472798
total,2025-05-25 10:00:00,136.66073387817625,81.85200924657187,89.62162677820501,183.69984097814748,191.46945850978062,113.06593714733673,46.58389581461709,62.726056676786435,164.49353872282174,177.12799239540988,150.26030903331812,83.7782677005985,99.92042856276788,201.6879106088032,214.3223642813913,137.53942327898136,71.05738194626177,87.19954280843112,188.96702485446644,201.60147852705452
total,2025-05-25 11:00:00,190.29878026641413,70.69491922651873,76.92818231125656,303.66937822157166,309.90264130630953,179.49362395129688,112.33712225170007,120.90328123044243,236.38558182822987,250.292246861299,209.40022173653674,142.24372003693992,150.80987901568227,266.2921796134697,280.1988446465388,199.6700244141167,132.5135227145198,141.0796816932622,256.5619822910496,270.4686473241187
total,2025-05-25 12:00:00,282.15208411927,198.55675409634813,211.09474816974554,353.20942006879443,365.7474141421919,255.6167540814018,169.5564101070459,197.05316562632666,336.653469323184,352.60834816645684,309.7060676926096,223.64572371825372,251.1424792375344,390.74278293439176,406.69766177766456,293.86830564592344,207.80796167156748,235.3047171908482,374.9050208877056,390.8598997309784
total,2025-05-25 13:00:00,310.3689790950357,96.04866564357742,129.34905414143472,491.3889040486367,524.689292546494,276.2786358791992,156.3982829156981,181.87227362577536,360.6115034990375,379.2636806049392,344.0514681686933,224.17111520519205,249.64510591526934,428.38433578853153,447.03651289443326,328.4685555851357,208.58820262163445,234.06219333171177,412.8014232049739,431.4536003108756
total,2025-05-25 14:00:00,271.00428784960076,132.73952707253002,160.89582689895502,381.11274880024655,409.2690486266715,246.75866809353673,165.27932802657728,178.91337163238003,300.0330036072017,312.42294402471174,301.9448791099367,220.46553904297724,234.09958264878,355.2192146236016,367.6091550411118,285.7697009015999,204.2903608346405,217.92440444044325,339.0440364152648,351.43397683277504
total,2025-05-25 15:00:00,309.06937835670715,254.30794069175826,256.23951664620176,361.89924006721253,363.830816021656,262.2408126941189,178.9126034571038,191.3222852334922,326.7764010662233,343.272571743299,344.0010638857837,260.6728546487685,273.082536425157,408.5366522578881,425.03282293496375,322.7115690618352,239.38335982482005,251.79304160120844,387.24715743393955,403.7433281110152
total,2025-05-25 16:00:00,298.38519303315184,230.79183544194677,236.41039039282853,360.35999567347517,365.9785506243569,257.6934247162805,162.36864135454132,185.4213770592209,325.4020968784411,336.0121542803114,337.24430424551014,241.919520883771,264.97225658845053,404.95297640767075,415.5630338095411,313.6973104734972,218.37252711175816,241.4252628164377,381.40598263565795,392.0160400375282
total,2025-05-25 17:00:00,257.98160363004234,114.50342903477664,145.22611268348487,370.7370945765998,401.459778225308,221.8345963705335,149.01138073280427,160.44283337934158,296.18131689951036,308.70053017131585,290.54540596759307,217.72219032986393,229.15364297640124,364.8921264965699,377.4113397683755,263.16551098026946,190.34229534254018,201.77374798907746,337.51223150924625,350.03144478105173
