unique_id,ds,LGBMRegressor,LGBMRegressor-lo-90,LGBMRegressor-lo-80,LGBMRegressor-hi-80,LGBMRegressor-hi-90,LGBMRegressor/BottomUp,LGBMRegressor/BottomUp-lo-90,LGBMRegressor/BottomUp-lo-80,LGBMRegressor/BottomUp-hi-80,LGBMRegressor/BottomUp-hi-90,LGBMRegressor/MinTrace_method-mint_shrink,LGBMRegressor/MinTrace_method-mint_shrink-lo-90,LGBMRegressor/MinTrace_method-mint_shrink-lo-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-90,LGBMRegressor/MinTrace_method-ols,LGBMRegressor/MinTrace_method-ols-lo-90,LGBMRegressor/MinTrace_method-ols-lo-80,LGBMRegressor/MinTrace_method-ols-hi-80,LGBMRegressor/MinTrace_method-ols-hi-90
total,2025-05-25 01:00:00,10.274469549335569,0.0,0.0,54.202085195068875,55.755009554539186,15.826803573736953,0.0,0.0,47.34138695387315,52.49764053437514,7.654800259884734,0.0,0.0,39.169383640020925,44.32563722052293,10.454956330373763,0.0,0.0,41.96953971050995,47.12579329101196
total,2025-05-25 02:00:00,4.839696075608541,0.0,0.0,17.79681672572601,20.452539643526197,11.889185102237454,0.0,0.0,25.433919462007083,28.718742743384045,1.972788226746229,0.0,0.0,15.51752258651586,18.802345867892825,5.42851576745221,0.0,0.0,18.97325012722183,22.2580734085988
total,2025-05-25 03:00:00,3.7318204831371244,0.0,0.0,9.11376377003019,10.090280194797607,10.396742091674854,2.5955048209754628,4.272088428404599,16.073989532332615,17.428382661684683,0.9004178276268213,0.0,0.0,6.577665268284585,7.932058397636655,4.264283691452263,0.0,0.0,9.941531132110027,11.29592426146209
total,2025-05-25 04:00:00,15.373741199920135,12.077239968521056,12.345001751617817,18.40248064822245,18.670242431319213,16.403134908753653,13.645918623487308,14.329326006911685,18.382784596799084,18.915897823787414,14.862958131286186,12.105741846019844,12.78914922944422,16.84260781933162,17.375721046319953,15.200311991201943,12.4430957059356,13.126503089359977,17.179961679247373,17.713074906235708
total,2025-05-25 05:00:00,9.410255649163558,2.354597387508185,2.751312932158765,16.06919836616835,16.46591391081893,13.770232078618381,9.71154704954692,10.713575446362118,16.993210362138008,17.62620500498157,7.361378553234087,3.3026935241626263,4.304721920977824,10.584356836753715,11.217351479597276,9.668665823169142,5.60998079409768,6.612009190912878,12.89164410668877,13.52463874953233
total,2025-05-25 06:00:00,4.731853506693924,0.0,0.0,11.104091265058338,12.359594200000277,11.641120517175102,3.6738754740832995,5.317119375089388,17.707333089430612,19.954412011986456,1.8583959076793888,0.0,0.0,7.924608479934894,10.171687402490736,5.2511900565893965,0.0,0.0,11.317402628844901,13.564481551400744
total,2025-05-25 07:00:00,10.772048171448864,0.0,0.0,22.237229096062443,22.659661672550623,15.862024126471793,9.4387958438815,10.2911788118898,21.961071358081057,24.188112708015808,7.961583222576646,1.53835493998635,2.3907379079946485,14.060630454185905,16.287671804120656,10.687480936261858,4.264252653671564,5.116635621679862,16.78652816787112,19.01356951780587
total,2025-05-25 08:00:00,54.459725079385876,5.196273157130436,18.717059552538867,90.20239060623288,103.72317700164132,49.84410442760131,13.269534914635013,20.25701416900418,76.80438895651075,78.83042438235111,57.13299096301143,20.558421450045135,27.54590070441429,84.09327549192088,86.11931091776123,54.46385295586678,17.88928344290046,24.876762697269626,81.42413748477621,83.45017291061656
total,2025-05-25 09:00:00,116.0852307480796,43.54489358814706,65.38586180436477,166.78459969179443,188.62556790801213,89.76582334603481,19.46473348773757,38.51176202383113,136.46096418295326,146.7057724833334,123.87345653235211,53.57236667405488,72.61939521014844,170.56859736927055,180.81340566965068,111.26376154909386,40.96267169079663,60.009700226890196,157.95890238601228,168.2037106863924
total,2025-05-25 10:00:00,124.18176758548205,71.17888449534892,77.98160138175467,170.38193378920943,177.1846506756152,106.84875214579681,43.80838812092985,59.20952100189091,156.14581760466197,177.91236458179662,132.62270456735249,69.58234054248551,84.98347342344657,181.91977002621763,203.6863170033523,122.72576930306563,59.68540527819871,75.08653815915976,172.02283476193082,193.78938173906545
total,2025-05-25 11:00:00,174.82078360875715,84.05318147595209,85.96066384744569,263.6809033700686,265.5883857415622,172.72067298107945,110.97958991152905,117.87465694284357,233.42195380976855,245.2877670669673,180.77911848489236,119.038035415342,125.93310244665652,241.4803993135815,253.34621257078027,178.21022330539185,116.46914023584151,123.36420726715605,238.911504134081,250.77731739127975
total,2025-05-25 12:00:00,278.9754119164302,187.00798533128417,190.63459026737252,367.31623356548783,370.94283850157615,243.86046114874014,162.8760959433349,185.00266220605587,329.02452895481093,339.3718273398616,313.518372760972,232.5340075555668,254.66057381828784,398.68244056704276,409.02973895209357,289.75628771672206,208.77192251131683,230.89848877403784,374.92035552279293,385.2676539078435
total,2025-05-25 13:00:00,302.02772682591933,88.54433411949873,123.32771300072983,480.7277406511089,515.51111953234,258.7648466403704,137.94196727023242,171.05197621935216,346.7627847009443,374.5033949296151,338.42677995545205,217.60390058531416,250.71390953443384,426.424718016026,454.1653282446968,315.57929100181906,194.75641163168106,227.86642058080074,403.5772290623929,431.3178392910637
total,2025-05-25 14:00:00,283.7613189705358,123.06975135536516,164.78835616838808,402.7342817726835,444.45288658570644,230.6129799196474,135.0755228828867,156.2938095591788,291.85090091514337,313.51255376043815,316.6630002303841,221.12554319362349,242.34382986991557,377.9009212258801,399.5625740711748,286.7094068452637,191.17194980850306,212.3902364847951,347.94732784075967,369.6089806860544
total,2025-05-25 15:00:00,313.1733709677518,242.2842679614444,250.056378372553,376.2903635629506,384.0624739740592,244.0492277405552,169.65668718868184,184.20078866720425,316.7326719398565,341.1682203701802,351.86315312095076,277.4706125690775,292.01471404759997,424.54659732025215,448.98214575057585,320.5184340379298,246.1258934860564,260.66999496457885,393.201878237231,417.63742666755485
total,2025-05-25 16:00:00,314.83939801228524,225.29609459788438,229.32831910790867,400.3504769166618,404.38270142668614,237.92137549067553,148.2743143067941,161.14158141050532,306.772791661837,318.0481631502605,358.5541184023466,268.9070572184652,281.7743243221764,427.40553457350813,438.6809060619316,318.67259307333427,229.0255318894529,241.89279899316406,387.5240092444958,398.79938073291925
total,2025-05-25 17:00:00,276.4885773373659,123.83707779740735,157.2135233066831,395.76363136804866,429.1400768773244,216.7502019870549,143.07045816644495,157.81326020524682,287.01465665736686,299.9260299672556,317.5208670565164,243.8411232359065,258.58392527470835,387.7853217268284,400.69669503671713,283.8594714489109,210.17972762830087,224.92252966710274,354.12392611922274,367.0352994291115
total,2025-05-25 18:00:00,254.37237932284728,144.539896476946,154.20067174576937,354.5440868999252,364.20486216874855,197.29169352332903,117.39421990199263,133.65406854891563,269.6049891547691,285.4903095638765,274.3554138387284,194.45794021739198,210.71778886431494,346.6687094701685,362.55402987927584,249.13562930581162,169.23815568447517,185.49800433139814,321.44892493725166,337.334245346359
total,2025-05-25 19:00:00,226.5851140573704,169.7948983368338,171.0196403803717,282.1505877343691,283.375329777907,187.2752770520216,119.39940973868792,132.3361697886561,243.90680229152426,262.6038069914994,259.20645885156176,191.330591538228,204.26735158819622,315.83798409106436,334.53498879103955,238.59286515806463,170.7169978447309,183.6537578946991,295.22439039756733,313.9213950975424
total,2025-05-25 20:00:00,137.66189640095502,77.04101989408285,85.98736498200171,189.3364278199083,198.28277290782717,125.2492619304569,51.52232987601446,60.352717778264264,185.6800683265593,205.126434236008,150.48504269709892,76.75811064265652,85.58849854490633,210.91584909320136,230.36221500265006,143.04019897284306,69.3132669184006,78.14365482065044,203.47100536894547,222.91737127839414
total,2025-05-25 21:00:00,100.74724284137683,0.9327034228453996,13.826763907647575,187.6677217751061,200.56178225990826,87.14771814840287,43.27897224027427,53.21148668589701,118.6070729495258,125.77648034478038,106.61628801545592,62.74754210732733,72.68005655295008,138.07564281657886,145.24505021183342,99.80129491572751,55.93254900759893,65.86506345322167,131.26064971685048,138.43005711210506
total,2025-05-25 22:00:00,63.043222466558454,33.300111041960164,35.40231194936983,90.68413298374708,92.78633389115674,59.439679039636374,7.1388382072718475,18.9426022229474,103.73027640448177,111.20248324492478,61.561967433351256,9.261126600986696,21.06489061666227,105.85256479819667,113.32477163863966,61.072734736192395,8.771893903827834,20.57565791950341,105.36333210103778,112.8355389414808
total,2025-05-25 23:00:00,52.467897849893056,1.907263772870678,11.041156534730323,93.89463916505579,103.02853192691543,49.51150094457582,0.0,13.380324383198829,83.99154991691626,95.99589613736175,50.96131779790121,0.0,14.830141236524213,85.44136677024164,97.44571299068713,50.766020597911776,0.0,14.634844036534787,85.24606957025222,97.25041579069772
total,2025-05-26 00:00:00,8.828440925500642,0.8899745941052692,1.1852708874979299,16.471610963503352,16.766907256896015,12.112529244975105,2.380234876701628,4.2482100107767735,19.259231066613808,21.13744809775764,7.610203010179633,0.0,0.0,14.756904831818336,16.63512186296217,9.0285625561347,0.0,1.164243321936372,16.175264377773406,18.05348140891724
total,2025-05-26 01:00:00,8.333569876916107,0.0,0.0,27.401579602249054,32.52608284071404,30.525255676221263,5.319118567526256,13.56975024920516,52.427167059326,56.85250373136701,0.0,0.0,0.0,21.09734758458229,25.522684256623304,9.806553359029826,0.0,0.0,31.708464742134556,36.133801414175565
total,2025-05-26 02:00:00,5.0855303576943784,0.0,0.0,14.444328176351975,16.926094150478995,27.214678711432494,14.289379341237845,17.293331937004037,38.422360766798754,40.66934033174979,0.0,0.0,0.0,6.810424974650753,9.057404539601789,6.411568521576025,0.0,0.0,17.619250576942278,19.866230141893315
total,2025-05-26 03:00:00,4.868938120100217,0.0,0.0,31.659401809529555,43.06086551691686,27.047579487782738,0.0,0.0,58.09749355635388,64.81356383324294,0.0,0.0,0.0,26.926660497406008,33.64273077429506,6.349309454369638,0.0,0.0,37.39922352294077,44.115293799829836
total,2025-05-26 04:00:00,8.825507961739453,5.023260035325745,5.137699726187313,12.51331619729159,12.62775588815316,30.168500690749465,26.611885577021617,27.1719704989193,33.34876072682073,33.84192461257376,0.0,0.0,0.0,2.1800341238593237,2.6731980096123635,9.7442755013005,6.187660387572647,6.747745309470333,12.924535537371755,13.417699423124795
total,2025-05-26 05:00:00,6.173581908151717,0.0,0.0,27.630714097656615,34.920656314597224,27.449964797798103,0.0,3.0697818023213417,46.4524856026207,52.81717601214594,0.0,0.0,0.0,15.647068260235528,22.011758669760766,7.061067193834104,0.0,0.0,26.063587998656708,32.42827840818194
total,2025-05-26 06:00:00,4.503752690534518,0.0,0.5500362070699338,8.457469173999103,8.684494342259132,26.198049052310704,20.52697556385519,21.50839783560799,31.08210421869188,32.36807880171651,0.0,0.0,0.0,0.6100413782065169,1.8960159612311336,5.9801953347938905,0.0,1.2905441180911694,10.86425050117506,12.150225084199677
total,2025-05-26 07:00:00,7.628811626625185,0.0,0.0,17.140213996193776,17.762412510439006,29.290285831386235,23.654755059389203,24.99462892565895,33.65709751611795,34.83960237328832,0.0,0.0,0.0,2.669580287976645,3.8520851451470186,8.923725693304762,3.2881949213077206,4.628068787577467,13.290537378036463,14.473042235206838
total,2025-05-26 08:00:00,38.06009130895107,1.8886758486951756,3.5034284619648375,72.61675415593731,74.23150676920697,57.900362530461656,35.502061614877846,41.04592168327913,74.36654823312664,77.68187101547268,30.790252265786688,8.391951350202895,13.93581141860418,47.25643796845168,50.57176075079772,40.14693148365713,17.74863056807334,23.292490636474625,56.61311718632212,59.92843996866816
total,2025-05-26 09:00:00,81.69281376193976,33.634853223317805,37.833207931077055,125.55241959280247,129.75077430056172,85.30388065289966,39.448512623522326,56.266000772836605,115.44329749528882,120.42155582042099,75.54436487840395,29.688996849026612,46.50648499834088,105.68378172079309,110.6620400459253,78.14555804165175,32.29019001227442,49.1076781615887,108.28497488404092,113.26323320917308
total,2025-05-26 10:00:00,82.6988337325848,22.958937041766692,26.02972493958095,139.36794252558866,142.43873042340292,94.14448458924252,46.67490066466027,61.22640422540933,131.90293794461283,141.3088811739073,77.087741031386,29.61815710680374,44.1696606675528,114.84619438675628,124.25213761605079,82.47729666167659,35.007712737094344,49.5592162978434,120.23575001704687,129.6416932463414
total,2025-05-26 11:00:00,105.10390473163136,53.87625909472376,58.196953631053404,152.0108558322093,156.33155036853896,134.82491485935637,60.40450006137541,76.17554767771612,197.1596552967405,220.69300418873644,96.78557000461132,22.36515520663034,38.13620282297106,159.12031044199546,182.65365933399138,110.69741618167293,36.277001383691996,52.04804900003271,173.0321566190571,196.56550551105303
total,2025-05-26 12:00:00,153.61428585977077,62.89069701590721,71.11114560928488,236.1174261102567,244.33787470363436,187.57524938826617,95.34877141057106,111.44381802898782,268.4141164368095,284.80249871898087,156.06471157635008,63.83823359865496,79.9332802170717,236.90357862489338,253.29196090706475,167.81129277937663,75.58481480168156,91.6798614200983,248.65015982792,265.0385421100914
total,2025-05-26 13:00:00,150.1851615646612,30.164409333477565,51.82207924773465,248.54824388158775,270.2059137958448,194.82148666273739,144.33679976868075,152.4951896768937,231.83905058975512,246.04821559026124,143.0982974081021,92.61361051404548,100.77200042225839,180.11586133511983,194.32502633562595,164.5627368790103,114.07804998495362,122.23643989316658,201.58030080602802,215.78946580653417
total,2025-05-26 14:00:00,151.04156644756233,97.5539415969927,105.64917800016268,196.43395489496197,204.52919129813196,174.00680714614234,105.27273846650894,119.98633155843352,234.94409020639108,250.07343507128408,142.94863953884615,74.21457085921274,88.92816395113732,203.8859225990949,219.01526746398793,156.6786511386366,87.94458245900313,102.65817555092772,217.61593419888533,232.74527906377833
total,2025-05-26 15:00:00,152.98783320562325,20.850474771157607,44.230054752262305,261.7456116589842,285.1251916400889,176.62373702833065,119.04809480471836,130.5865604916253,225.8420058607312,234.74036101858349,149.2105259088659,91.6348836852536,103.17334937216053,198.42879474126644,207.32714989911872,160.56896277622894,102.99332055261671,114.53178623952364,209.78723160862953,218.6855867664818
total,2025-05-26 16:00:00,161.37053672110417,110.30427866598708,117.6537511058375,205.08732233637085,212.43679477622126,181.75494764513832,97.8586152048595,121.46701282912984,243.67776636651723,265.89514824606323,160.8626297428927,76.96629730261387,100.57469492688419,222.78544846427164,245.0028303438176,169.30954223780088,85.41320979752209,109.02160742179244,231.23236095917983,253.44974283872583
total,2025-05-26 17:00:00,148.3046285407029,92.2049432458764,94.38568793647623,202.22356914492957,204.40431383552942,167.98786288822402,84.65515027724575,107.74522327938477,233.53057366618404,252.63549250749995,141.0367015794576,57.703988968479365,80.79406197061839,206.57941235741765,225.68433119873353,151.26991245326715,67.93719984228895,91.02727284442794,216.81262323122724,235.9175420725431
total,2025-05-26 18:00:00,145.8933629055115,40.68389036230296,60.25609945631107,231.53062635471196,251.10283544872007,167.88077208003102,82.81106245981053,107.0230451040151,225.79903777549598,241.62084293889654,141.46024737804998,56.39053775782957,80.60252040203413,199.378513073515,215.20031823691556,150.98486772528153,65.91515810506107,90.12714074926564,208.9031334207465,224.72493858414708
total,2025-05-26 19:00:00,140.78192773759045,73.15471077340348,75.50045032421342,206.0634051509675,208.40914470177745,157.79154570410566,112.84970924818242,124.42376763089686,200.89946391685845,209.08108930094107,141.43581431371004,96.49397785778682,108.06803624050126,184.54373252646286,192.72535791054548,146.8392758295756,101.89743937365236,113.47149775636682,189.94719404232842,198.12881942641104
