unique_id,ds,LGBMRegressor,LGBMRegressor-lo-90,LGBMRegressor-lo-80,LGBMRegressor-hi-80,LGBMRegressor-hi-90,LGBMRegressor/MinTrace_method-mint_shrink,LGBMRegressor/MinTrace_method-mint_shrink-lo-90,LGBMRegressor/MinTrace_method-mint_shrink-lo-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-80,LGBMRegressor/MinTrace_method-mint_shrink-hi-90,LGBMRegressor/MinTrace_method-ols,LGBMRegressor/MinTrace_method-ols-lo-90,LGBMRegressor/MinTrace_method-ols-lo-80,LGBMRegressor/MinTrace_method-ols-hi-80,LGBMRegressor/MinTrace_method-ols-hi-90
total,2025-05-25 01:00:00,7.244640156467325,0.0,0.0,54.489838316511026,55.015608880424054,4.694355219727353,0.0,0.0,40.957673655074466,51.66657225346145,7.7877983071693,0.0,0.0,44.05111674251641,54.7600153409034
total,2025-05-25 02:00:00,4.1480498896577185,0.0,0.0,19.168027201221946,21.00165632377667,1.562427686615853,0.0,0.0,17.281580359409258,22.803568868090778,4.532868932215645,0.0,0.0,20.252021605009052,25.774010113690565
total,2025-05-25 03:00:00,3.1348145528357887,0.0,0.0,8.479710585293036,9.64703791832046,0.6403547521398442,0.0,0.0,6.677089260903756,7.841072004074766,3.4681434441054284,0.0,0.0,9.504877952869338,10.66886069604035
total,2025-05-25 04:00:00,7.5244377826995175,4.581713904333613,4.88891351244237,10.159962052956665,10.467161661065422,4.917541497032732,2.2240211344272267,2.9263178831799594,6.635716183685088,6.963188646936929,9.257672760951946,6.564152398346441,7.266449147099175,10.975847447604304,11.303319910856143
total,2025-05-25 05:00:00,8.291866782639213,1.9433705118677063,2.4339588380834964,14.149774727194929,14.64036305341072,5.939860645250253,1.7807939829271968,2.2526965345813514,9.662045645576724,10.33116465525348,8.628966691854593,4.469900029531536,4.941802581185691,12.351151692181064,13.020270701857823
total,2025-05-25 06:00:00,3.8533105817294717,0.0,0.0,10.09908495287421,11.539318323225551,1.3577195297702158,0.0,0.0,7.955815849087876,9.566284704886856,4.226533320758664,0.0,0.0,10.824629640076326,12.435098495875305
total,2025-05-25 07:00:00,9.798780088174366,0.0,0.0,21.61813171894245,22.17500591912555,7.208005849777937,0.0,1.7562083080883548,12.767714645248931,14.454669560643419,9.868179352876846,2.7745609688729567,4.416381811187266,15.427888148347842,17.114843063742327
total,2025-05-25 08:00:00,52.16004554674316,13.728710442102805,21.37084891904984,82.94924217443648,90.59138065138352,52.541892288239204,21.619919260039783,26.3951435030028,77.5390524579636,85.00142329673383,53.39361022807731,22.47163719987789,27.246861442840913,78.39077039780172,85.85314123657196
total,2025-05-25 09:00:00,110.97143646865058,39.89449075779926,58.89625116285714,163.04662177444402,182.0483821795019,115.26626420585728,58.95322410784524,69.70829528448927,168.08661097691572,180.52977479592226,110.38816279827283,54.07512270026079,64.83019387690483,163.20850956933123,175.65167338833785
total,2025-05-25 10:00:00,109.53547789379873,57.9881416327629,64.02669658464592,155.04425920295154,161.08281415483455,107.29637093083005,47.95151029158314,59.76744759368306,156.59252975256695,170.42992314682826,115.02499600123399,55.68013536198703,67.49607266408697,164.3211548229708,178.15854821723215
total,2025-05-25 11:00:00,144.71965111159327,50.98222229045932,54.952058003266394,234.48724421992011,238.4570799327272,129.50346171020578,54.51820058891113,68.64940504920705,185.82945371033426,199.37854416934647,162.6447007648235,87.65943964352876,101.79064410382468,218.9706927649519,232.51978322396414
