unique_id,ds,SeasonalNaive,SeasonalNaive-lo-90,SeasonalNaive-lo-80,SeasonalNaive-hi-80,SeasonalNaive-hi-90,HistoricAverage,HistoricAverage-lo-90,HistoricAverage-lo-80,HistoricAverage-hi-80,HistoricAverage-hi-90,SeasonalES,SeasonalES-lo-90,SeasonalES-lo-80,SeasonalES-hi-80,SeasonalES-hi-90
total,2025-05-25 01:00:00,36.876599257118826,1.9727713846955144,8.867303127669626,64.88589538656802,71.78042712954213,66.43500046006302,40.61747921447438,44.193743911087836,88.67625700903821,92.25252170565167,25.5096737756713,0.0,0.0,66.94577472925144,69.55702399644906
total,2025-05-25 02:00:00,11.892703260420822,0.0,0.0,27.765096133806694,30.677638158651796,66.43500046006302,11.939036757597245,11.978464012119137,120.89153690800691,120.9309641625288,8.860337619414427,0.0,0.0,20.376151746737687,23.858171241272196
total,2025-05-25 03:00:00,0.0,0.0,0.0,9.65800000000126,9.65800000000126,66.43500046006302,0.0,0.0,132.62667311080213,132.66602938509305,3.4033005374360354,0.0,0.0,8.94337976122984,9.559431691205202
total,2025-05-25 04:00:00,0.0,0.0,0.0,0.0,0.0,66.43500046006302,0.0,0.0,132.66297258790752,132.68417912364575,0.9027069357368069,0.0,0.0,2.541365758840947,2.6374882037716363
total,2025-05-25 05:00:00,0.0,0.0,0.0,0.0,0.0,66.43500046006302,0.0,0.0,132.66297258790752,132.68417912364575,0.9284646737783491,0.0,0.0,2.613880803195337,2.7127459951443784
total,2025-05-25 06:00:00,11.376459510357089,2.844114877589272,5.688229755178544,17.064689265535634,19.908804143124904,66.43500046006302,0.0,0.0,132.58426003932573,132.60240977787842,2.6251905827937176,0.0,0.0,8.403436343586502,11.053091265445408
total,2025-05-25 07:00:00,11.022191313821706,2.7555478284554265,5.511095656910853,16.533286970732558,19.288834799187985,66.43500046006302,0.0,0.0,132.58426003932573,132.60240977787842,7.590158518747166,0.0,0.0,17.166624106349612,17.728372087745285
total,2025-05-25 08:00:00,4.6603491758295466,0.0,0.0,35.44350579180502,45.025187488995755,66.43500046006302,16.88968172230178,28.95439900803192,103.91560191209413,115.98031919782427,36.25015936864869,2.8542057372568106,9.445353615762588,63.05496512153479,69.64611300004057
total,2025-05-25 09:00:00,81.26699507995548,0.0,0.0,181.25335760485137,192.84134644420578,66.43500046006302,0.0,6.79718653174433,126.07281438838172,145.29356033848114,81.75261482849938,0.0,25.250834916949742,138.254394740049,163.02415971982902
total,2025-05-25 10:00:00,139.387719436938,43.53579179777654,46.54518537534404,232.23025349853197,235.23964707609946,66.43500046006302,0.0,0.0,137.32464259069036,138.4384886441852,100.80885761100159,52.161284803104024,52.34771430651839,149.2700009154848,149.45643041889915
total,2025-05-25 11:00:00,256.0939009049654,104.49173064454193,126.78938722564405,385.3984145842867,407.69607116538884,66.43500046006302,0.0,0.0,211.74191555208503,234.00021585889624,173.0722925879823,72.47925196986341,76.97685479096359,269.167730385001,273.6653332061012
total,2025-05-25 12:00:00,224.94753320056077,94.72382513306322,95.28336614635637,354.6117002547652,355.17124126805834,66.43500046006302,0.0,0.0,298.37308698282936,327.17665533393784,275.9841644658369,197.0042953642451,201.79647482626257,350.1718541054112,354.9640335674287
total,2025-05-25 13:00:00,253.46797246151775,11.014282118954924,54.479937322254926,452.4560076007806,495.9216628040806,66.43500046006302,0.0,0.0,483.6446965218495,511.6407279664625,359.8765363077872,182.634939270678,196.8173434112041,522.9357292043703,537.1181333448965
total,2025-05-25 14:00:00,161.3901124950182,42.024085924493384,65.64771766714033,257.13250732289606,280.75613906554304,66.43500046006302,0.0,0.0,324.54500735373335,334.5029049246575,265.49831639665376,149.59014137422415,165.4645029361434,365.53212985716414,381.40649141908335
total,2025-05-25 15:00:00,262.1117730813891,197.7186863833003,204.3134355218666,319.9101106409116,326.50485977947795,66.43500046006302,0.0,0.0,293.99522438121284,305.165583940363,266.9599291154068,219.28241526221797,233.12928442255617,300.7905738082574,314.63744296859556
total,2025-05-25 16:00:00,230.73984108622756,159.57058190021814,160.5009158991362,300.9787662733189,301.90910027223697,66.43500046006302,0.0,0.0,265.13599801307373,282.25176884612574,262.309372220367,218.01939892979595,219.46224608819753,305.15649835253646,306.599345510938
total,2025-05-25 17:00:00,247.4767428687524,128.4143898965202,142.31958794205553,352.63389779544923,366.5390958409846,66.43500046006302,0.0,0.0,219.90967458700558,233.77551635825006,206.65457833066597,116.55839491336982,129.36591405327596,283.943242608056,296.7507617479621
total,2025-05-25 18:00:00,165.59458576251853,149.16774902910856,151.79056038077113,179.39861114426594,182.0214224959285,66.43500046006302,0.0,0.0,165.58743754609498,165.6733192846778,180.58436666139576,143.00229964938805,147.34283705069248,213.82589627209904,218.16643367340347
total,2025-05-25 19:00:00,155.41498952287503,73.78048876019685,84.34931633568647,226.4806627100636,237.04949028555322,66.43500046006302,0.0,0.0,180.92370651447746,193.42386076208248,151.63462906073957,96.57652630774558,112.80085865981367,190.46839946166546,206.69273181373356
