,level,metric,SeasonalNaive,HistoricAverage,SeasonalES
0,Total,rmse,71.94688749269872,100.79581981106595,51.867419797601
1,Total,mae,44.40368551282503,76.13893526927563,34.32465825039837
2,Total/LocationId,rmse,40.68413389817272,41.687121988014695,28.75298493745594
3,Total/LocationId,mae,24.96743539011588,30.416533037140145,18.58954263505648
4,Total/LocationId/EvseMaxPower,rmse,17.442560149657076,16.806359258342425,12.807824143505867
5,Total/LocationId/EvseMaxPower,mae,9.74365887090375,11.501451497614283,7.905799200553948
6,Total/LocationId/EvseMaxPower/ConnectorId,rmse,9.222253643164555,6.908798102178516,6.662894602343059
7,Total/LocationId/EvseMaxPower/ConnectorId,mae,3.9396543569078704,3.5567597652540885,3.33955759808521
8,Overall,rmse,14.036691834268543,12.894215680759165,10.137460478823513
9,Overall,mae,7.1851421669392055,8.237253950898285,5.794374893615327
