,level,metric,LGBMRegressor,LGBMRegressor/BottomUp,LGBMRegressor/MinTrace_method-mint_shrink,LGBMRegressor/MinTrace_method-ols,days_to_holiday,days_from_holiday,IsHoliday,is_available
0,Total,rmse,53.852473096826394,61.302569619796,56.6689518682035,55.619162559700754,129.45681200907123,124.02679208991941,132.35192371577486,115.03125195159791
1,Total,mae,36.307619210829486,47.21059677893339,37.03987412471721,38.000665865832886,86.86667892448015,83.02876500891237,88.68242261904777,78.35799618961951
2,Total/LocationId,rmse,30.547026300809694,31.403091584059997,28.83193927379133,28.530194283532456,47.86385923308071,45.99453566189677,50.19761094373001,45.4569269687795
3,Total/LocationId,mae,21.332917009510812,24.275872046022343,18.951182349526572,19.478481746700535,29.072686384352824,31.469645470668173,29.570309779944562,29.045287493985796
4,Total/LocationId/EvseMaxPower,rmse,13.103544224309992,13.783074956263057,12.847732662328678,13.07390925821352,19.144061448247882,25.801663675701263,18.93515025810726,17.783590938618847
5,Total/LocationId/EvseMaxPower,mae,9.06356870824611,10.228606705083717,8.315602837528663,8.658449771059843,11.858258574742766,19.183654645492012,9.934812254690515,10.878642886161627
6,Total/LocationId/EvseMaxPower/ConnectorId,rmse,6.59614978883209,6.59614978883209,6.462550626666147,6.4497217887959275,8.729163969379604,19.44542206052645,7.2291751811389044,7.000788387645441
7,Total/LocationId/EvseMaxPower/ConnectorId,mae,4.0531853366912465,4.0531853366912465,3.5593541982939416,3.626283480261071,5.83152502171783,15.18651795786304,2.648543559369398,3.129043898488335
8,Overall,rmse,10.297722763066012,10.633849199738888,10.103825741330224,10.096149819626609,15.643035034808968,24.475315505736393,14.716296671037332,13.676707184856177
9,Overall,mae,6.744582820786886,7.374107500978074,6.110650909402977,6.276710017804387,10.102342521048909,18.367056703240653,7.489701808938022,7.769128772794235
